text,label
"A Cashier position is now open at Thandeka (Pty) Ltd 351, Cape Town. Remuneration is R6218 per month, in line with industry norms. The successful candidate will handle day-to-day cashier tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. To apply, submit your CV via our official careers page at careers.thandeka351.co.za. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"We're looking for a General Worker to join Nomvula Retail 45 in Nelspruit. Remuneration is R7223 per month, in line with industry norms. The successful candidate will handle day-to-day general worker tasks for the team. Candidates should have a Grade 12 qualification and some relevant work history. Interested candidates can send a CV through our listing on Pnet. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.",0
"Karabo Logistics 445 has a vacancy for a HR Assistant in the Midrand area. The role pays R10504/month depending on relevant experience. Responsibilities cover the standard scope of a hr assistant role at this level. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.karabologistics445.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Sizwe Logistics 93 has a vacancy for a Cashier in the Nelspruit area. Salary offered is R8164 per month, negotiable based on experience. Responsibilities cover the standard scope of a cashier role at this level. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on our LinkedIn page. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"A Security Officer position is now open at Mpho (Pty) Ltd 57, Midrand. Remuneration is R5522 per month, in line with industry norms. The successful candidate will handle day-to-day security officer tasks for the team. A completed Matric and prior experience in a similar role is preferred. To apply, submit your CV via our official careers page at careers.mpho57.co.za. We do not charge any fee at any stage of hiring. Shortlisted candidates hear back within ten working days.",0
Vuyo Retail 575 is recruiting a Accountant based in Durban. The role pays R16369/month depending on relevant experience. Responsibilities cover the standard scope of a accountant role at this level. Candidates should have a Grade 12 qualification and some relevant work history. Please apply directly through our LinkedIn page with an updated CV. Only shortlisted applicants will be contacted. This process is entirely free of charge to candidates.,0
"Sizwe Holdings 619 has a vacancy for a Driver in the Gqeberha area. Salary offered is R7939 per month, negotiable based on experience. Duties include general driver responsibilities as outlined in the attached job description. A completed Matric and prior experience in a similar role is preferred. Interested candidates can send a CV through our listing on Indeed. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"We're looking for a Receptionist to join Vuyo Retail 746 in Nelspruit. The role pays R10786/month depending on relevant experience. Duties include general receptionist responsibilities as outlined in the attached job description. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.vuyoretail746.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
"Driver needed, Durban area, R27166/month. Kindly note a refundable registration deposit is required before your starter pack is issued. Limited spaces, apply now.",1
"Karabo Retail 674 is recruiting a Data Capturer based in Polokwane. Remuneration is R8994 per month, in line with industry norms. The successful candidate will handle day-to-day data capturer tasks for the team. Minimum requirement: Matric certificate, relevant experience preferred. To apply, submit your CV via our official careers page at careers.karaboretail674.co.za. Shortlisted candidates will be contacted for an interview within two weeks. No fees of any kind are charged during recruitment.",0
